Name	University	Country	
Prasad Tetali	Caucasus University	GE	Random_graphs;Approximation_algorithms;Markov_chain
E. Cohen	Sree Sankaracharya University of Sanskrit	IN	
Uri Arad	Galillee College	IL	
Nir Ailon	Tampere University of Technology	FI	Dimension_reduction;Approximation_algorithms;Property_testing
Sihem Amer-Yahia	Missouri Tech	US	Big_data
Dan Vodislav	Applied Science University	JO	Semantic_integration
Kevin Buchin	NTI University	NL	Delaunay_triangulation;Voronoi_diagram;Planar_graphs;Planar_graph
Eric Blais	McGill University	CA	Boolean_function;Property_testing;Communication_complexity
Zoltan Furedi	University of Illinois	US	Graph_theory;Hypergraph
Benny Chor	Massachusetts Institute of Technology	US	Random_oracle;Private_information_retrieval
Rebecca N. Wright	Oregon Health Sciences University	US	Cryptographic_protocols;Key_exchange;Bayesian_networks
Sergey Yekhanin	Wilson College	US	Private_information_retrieval;Approximation_algorithms;Group_testing
Neoklis Polyzotis	University of Applied Sciences	EE	Data_management;Data_model_(ArcGIS);Big_data
Richard A Brualdi	Universität Dortmund	DE	Laplacian_matrix
Jehoshua Bruck	California Institute of Technology	US	
Dhruv Mubayi	University of Illinois	US	
Moshe Tennenholtz	Technion - Israel Institute of Technology	IL	User_modeling;Competitive_analysis_(online_algorithm)
Hao Huang	Nanjing University	CN	Formal_verification;Monitor_(synchronization)
Vera Asodi	Tel Aviv University	IL	
Richard A. Duke	Georgia Institute of Technology	US	
Sridhar Rajagopalan	ICT College	US	Approximation_algorithms;Random_graph
Ayal Zaks	University of Haifa	IL	
J Csirik	University of Szeged	HU	
Gady Kozma	Weizmann Institute of Science	IL	Random_graph
Jan Vondrák	AISTEDA	RO	
Benny Sudakov	Athenaeum of Ohio	US	Random_graphs;Regular_graphs;Graph_products;Random_graph
Saket Saurabh	CMJ University	IN	Vertex_cover;Geometric_graphs;Directed_graphs
Simon Kasif	Boston University	US	Markov_models;Support_vector_machines
Haim Kaplan	Tel Aviv University	IL	Approximation_algorithms;Distributed_algorithm
Yossi Matias	Tel Aviv University	IL	Data_structures;Data_compression;Hash_functions
Angela Bonifati	Université Henri Poincaré (Nancy I)	FR	XML_databases;Query_languages;XML_Schema_(W3C)
Donovan Hare	University of British Columbia	CA	
Dahlia Malkhi	Missouri Tech	US	State_machine_replication;Concurrency_control;Data_access
Theis Rauhe	IT University of Copenhagen	DK	Distributed_algorithm
Serge Abiteboul	Ecole Centrale de Nantes	FR	Data_integration;Query_languages
Julia Stoyanovich	Columbia University	US	Provenance
Yury Makarychev	University of New England	US	Approximation_algorithm
Konstantin Makarychev	Fred Hutchinson Cancer Research Center	US	Approximation_algorithms;Approximation_algorithm
Zvi Galil	Columbia University	US	Graph_algorithms;Dynamic_programming;Combinatorial_algorithms;Data_structures
Radovs Radoicić	Massachusetts Institute of Technology	US	
Brendan Hills	Avondale College	AU	
Gábor Tardos	National Institute of Mental Health and Neuro Sciences	IN	Directed_graphs;Random_graphs;Geometric_graphs
Uri Zwick	Oregon Health Sciences University	US	Approximation_algorithms;Directed_graphs
Larry Stockmeyer	AISTEDA	RO	Circuit_complexity;Approximation_algorithms
Dan Hefetz	University of Switzerland	CH	Connectivity_(graph_theory)
Nimrod Megiddo	Swiss Management Center	CH	Approximation_algorithms;Linear_programming;Quadratic_programming
Péter L Erdös	Haynal Imre University of Health Sciences Budapest	HU	
Amotz Bar-Noy	Royal School of Library and Information Science	DK	Scheduling_algorithms
Roger Weber	Jaypee Institute of Information Technology	IN	
W. Pulleyblank	Fielding Institute	US	Travelling_salesman_problem;Tutte_polynomial
Sanjeev Mahajan	University of Milan	IT	Semidefinite_programming
Michael Rys	Stanford University	US	Relational_database;Query_languages;Data_model_(ArcGIS);XML_Schema_(W3C)
T. Leighton	Massachusetts Institute of Technology	US	Approximation_algorithms;Iterative_methods
A. M. Frieze	Carnegie Mellon University	US	Random_graphs;Random_graph;Linear_programming
Miklós Ruszinkó	School of Management Fribourg	CH	
Asaf Shapira	Fachhochschule Kiel	DE	Graph_property;Directed_graphs;Approximation_algorithms
Frank Neven	Hasselt University	BE	Query_languages;Query_language;XML_Schema_(W3C)
Tova Milo	Tel Aviv University	IL	Data_integration;Web_services
Florin Dragan	AISTEDA	RO	Neural_Networks_(journal)
Vincent Aguilera	Ecole de l'Air	FR	
Catriel Beeri	Bar-Ilan University	IL	Query_languages
B. Reed	Lakshmibai National Institute of Physical Education	IN	
Venkatesan Guruswami	Carnegie Mellon University	US	List_decoding;Approximation_algorithms
T. Shermer	Simon Fraser University	CA	NP-complete
Moty Ricklin	Ariel University Center of Samaria	IL	
Ning Xie	Heilongjiang University	CN	ANIMAL_(image_processing)
Shmuel Onn	Technion - Israel Institute of Technology	IL	Integer_programming;Linear_programming;Computational_problems
Rubi Boim	Tel Aviv University	IL	Collaborative_filtering
Iman Hajirasouliha	Simon Fraser University	CA	
Paul Erdös	Hungarian Academy of Craft and Design	HU	
Gabriel Nivasch	Tel Aviv University	IL	K-set_(geometry)
Yehuda Afek	Georgia Health Sciences University	US	Transactional_memory;Distributed_algorithms
