1	76
2	28
3	21
4	14
5	15
6	22
7	23
8	30
9	34
10	21
11	21
12	19
13	18
14	22
15	23
16	18
17	22
18	14
19	15
20	21
21	14
22	10
23	13
24	10
25	11
26	13
27	15
28	10
29	15
30	10
31	7
32	9
33	7
34	7
35	7
36	11
37	9
38	11
39	6
40	11
41	7
42	7
43	9
44	7
45	9
46	9
47	4
48	8
49	10
50	5
51	5
52	5
53	6
54	12
55	6
56	5
57	3
58	11
59	3
60	3
61	8
62	12
63	3
64	5
65	5
66	9
67	10
68	3
69	5
70	4
71	5
72	2
73	7
74	6
75	4
76	10
77	2
78	4
79	4
80	3
81	3
82	2
83	4
84	5
85	2
86	6
598	1
87	5
89	3
90	1
91	5
92	3
93	3
94	3
95	4
96	2
98	3
99	2
100	1
101	2
102	4
103	3
104	2
105	4
106	3
107	4
109	2
110	3
111	3
112	2
113	2
114	2
115	3
116	2
117	2
118	1
119	1
120	3
121	1
122	2
123	1
124	1
125	1
126	6
127	1
128	1
130	2
131	1
132	2
133	1
134	1
135	3
136	2
137	1
139	2
140	1
141	2
143	1
144	2
146	1
147	2
148	2
150	1
151	2
153	2
154	1
155	1
156	1
157	1
160	1
161	1
162	2
163	2
164	2
165	2
168	1
169	2
172	1
173	1
175	1
176	1
179	2
180	1
182	2
184	1
188	1
190	1
193	1
197	1
199	2
202	1
203	2
204	1
206	1
210	1
211	1
225	1
228	1
239	1
242	1
245	1
246	1
252	1
256	1
269	1
271	1
277	1
290	1
291	1
303	1
306	1
334	1
361	1
372	1
408	1
462	1
