Name	University	Country	
Kevin Buchin	NTI University	NL	http://dbpedia.org/resource/Delaunay_triangulation;http://dbpedia.org/resource/Voronoi_diagram;http://dbpedia.org/resource/Planar_graph;http://dbpedia.org/resource/Simple_polygon;http://dbpedia.org/resource/Planar_graph
Hector Garcia-Molina	Stanford University	US	http://dbpedia.org/resource/Unstructured_data;http://dbpedia.org/resource/Distributed_database;http://dbpedia.org/resource/Data_mapping;http://dbpedia.org/resource/Distributed_database;http://dbpedia.org/resource/Database_system
Fabian Kuhn	Université de Marne la Vallée	FR	http://dbpedia.org/resource/Dynamic_network_analysis
Andrew Tomkins	Ecole de l'Air	FR	http://dbpedia.org/resource/Information_retrieval;http://dbpedia.org/resource/Knowledge_base;http://dbpedia.org/resource/Semantic_Web;http://dbpedia.org/resource/Social_network
Paul Krzyzanowski	AISTEDA	RO	http://dbpedia.org/resource/Data_structure
Tomasz Imieliński	Information and Communications University	KR	http://dbpedia.org/resource/Complete_information;http://dbpedia.org/resource/Association_rule
Joseph A. Konstan	Institue of Historical Research, University of London	GB	http://dbpedia.org/resource/Collaborative_filtering;http://dbpedia.org/resource/Recommender_system;http://dbpedia.org/resource/Recommender_system;http://dbpedia.org/resource/Social_computing;http://dbpedia.org/resource/Recommender_system
Vishal Sikka	AISTEDA	RO	http://dbpedia.org/resource/Data_management;http://dbpedia.org/resource/Meta-data_management;http://dbpedia.org/resource/User_interface
Xuejun Xu	Bohai University	CN	
Ayal Zaks	University of Haifa	IL	http://dbpedia.org/resource/Boolean_function
Dharmendra S. Modha	Swiss Management Center	CH	http://dbpedia.org/resource/Compression_algorithms;http://dbpedia.org/resource/LDPC_code;http://dbpedia.org/resource/Neural_network;http://dbpedia.org/resource/Density_estimation;http://dbpedia.org/resource/Distributed_memory
Shawn Bowers	Swiss Management Center	CH	http://dbpedia.org/resource/Data_Discovery_and_Query_Builder;http://dbpedia.org/resource/Workflow_Management_Coalition;http://dbpedia.org/resource/Data_integration;http://dbpedia.org/resource/Data_transformation;http://dbpedia.org/resource/Biological_data_visualization
P. P. S. Narayan	Thiel College	US	
Zarka Cvetanovic	Trinity College Carmarthen	GB	http://dbpedia.org/resource/Performance_Analysis_of_Telecommunication_Systems;http://dbpedia.org/resource/Memory_bandwidth
Anton T. Dahbura	AISTEDA	RO	http://dbpedia.org/resource/Sales_comparison_approach
Maged M. Michael	Missouri Tech	US	http://dbpedia.org/resource/Transactional_memory;http://dbpedia.org/resource/Shared_memory;http://dbpedia.org/resource/Memory_management;http://dbpedia.org/resource/Software_transactional_memory;http://dbpedia.org/resource/Parallel_programming_model
Karen P. Tang	Carnegie Mellon University	US	http://dbpedia.org/resource/Location_Information_Server
Robert Johnson	University of Texas	US	http://dbpedia.org/resource/In_vitro;http://dbpedia.org/resource/DNA_repair;http://dbpedia.org/resource/DNA_replication;http://dbpedia.org/resource/DNA_synthesis;http://dbpedia.org/resource/Protein_synthesis
Paul Seymour	Princeton University	US	http://dbpedia.org/resource/Planar_graph
Huiming Qu	University of Pittsburgh	US	http://dbpedia.org/resource/Graph_theory;http://dbpedia.org/resource/IT_service_management
Y. Kohayakawa	Universidade de São Paulo	BR	
Jan Vondrák	AISTEDA	RO	http://dbpedia.org/resource/Secretary_problem;http://dbpedia.org/resource/Minimum_spanning_tree;http://dbpedia.org/resource/Maxcut;http://dbpedia.org/resource/Differential_equation
Alon Y. Halevy	University of Washington	US	http://dbpedia.org/resource/Data_integration;http://dbpedia.org/resource/Data_management;http://dbpedia.org/resource/Unstructured_data;http://dbpedia.org/resource/Semantic_integration;http://dbpedia.org/resource/Data_modeling
Zbigniew T. Kalbarczyk	University of Illinois	US	http://dbpedia.org/resource/Soft_error;http://dbpedia.org/resource/Experimental_research_design
Robert Kleinberg	Cornell University	US	http://dbpedia.org/resource/Competitive_ratio;http://dbpedia.org/resource/Multi-armed_bandit_problem
Yasushi Sakurai	Communication University of China	CN	http://dbpedia.org/resource/Hidden_Markov_models;http://dbpedia.org/resource/Search_algorithm;http://dbpedia.org/resource/Activity_recognition
Xuening Liu	Tsinghua University	CN	http://dbpedia.org/resource/Content_delivery_network
Ming Hua	Nanjing University	CN	http://dbpedia.org/resource/Jiangsu;http://dbpedia.org/resource/Soil;http://dbpedia.org/resource/Jiangsu_Province_Kunqu_Theatre
Ying Zhang	Zhejiang University	CN	http://dbpedia.org/resource/Flavonoid;http://dbpedia.org/resource/Traditional_Chinese_medicine;http://dbpedia.org/resource/Prunus_mume;http://dbpedia.org/resource/Acrylamide
Stefan Haar	AgroParisTech	FR	http://dbpedia.org/resource/Unfolding
Alexander Borgida	Butler University	US	http://dbpedia.org/resource/Knowledge_representation_and_reasoning;http://dbpedia.org/resource/Knowledge_base;http://dbpedia.org/resource/Database_design;http://dbpedia.org/resource/Conceptual_schema;http://dbpedia.org/resource/Semantic_network
Manli Zhu	Taoist College Singapore	SG	http://dbpedia.org/resource/Linear_discriminant_analysis;http://dbpedia.org/resource/Pattern_recognition
Daniela Florescu	Fachhochschule Pur	CH	http://dbpedia.org/resource/Web_Services_Description_Language;http://dbpedia.org/resource/Relational_database;http://dbpedia.org/resource/Relational_database;http://dbpedia.org/resource/Data_integration;http://dbpedia.org/resource/Web_service
P. Smyth	California Institute of Technology	US	
Henry F. Korth	Beijing Information Science and Technology University	CN	http://dbpedia.org/resource/Relational_database;http://dbpedia.org/resource/Distributed_database;http://dbpedia.org/resource/Database_system;http://dbpedia.org/resource/Data_modeling
Phillip B. Gibbons	University of Pittsburgh	US	http://dbpedia.org/resource/Parallel_algorithm;http://dbpedia.org/resource/Parallel_computation
Ron Holzman	Technion - Israel Institute of Technology	IL	http://dbpedia.org/resource/C72;http://dbpedia.org/resource/Social_choice_theory;http://dbpedia.org/resource/Quorum
Jeffrey S. Pierce	Caucasus University	GE	
David Koop	University of Utah	US	http://dbpedia.org/resource/Provenance;http://dbpedia.org/resource/Sun_Visualization_System
Zhuo Chen	Holmes Institute	AU	http://dbpedia.org/resource/Trellis_modulation;http://dbpedia.org/resource/Turbo_code;http://dbpedia.org/resource/Physical_layer;http://dbpedia.org/resource/Convolution_code
